iter	Passed	Remaining
0	2	269
1	7	373
2	12	420
3	15	361
4	18	360
5	22	352
6	25	336
7	27	313
8	32	324
9	42	380
10	46	379
11	51	379
12	54	366
13	59	367
14	63	358
15	67	352
16	71	347
17	77	351
18	82	353
19	88	352
20	91	345
21	97	344
22	102	344
23	117	372
24	119	358
25	129	368
26	134	364
27	136	350
28	142	349
29	145	339
30	150	335
31	152	324
32	160	325
33	162	315
34	166	308
35	172	306
36	174	297
37	176	287
38	181	284
39	189	284
40	191	275
41	196	270
42	212	281
43	215	273
44	220	269
45	222	260
46	227	256
47	234	253
48	236	245
49	240	240
50	249	239
51	251	232
52	254	225
53	255	218
54	264	216
55	268	210
56	270	204
57	275	199
58	277	192
59	278	185
60	281	179
61	285	174
62	290	170
63	292	164
64	296	159
65	300	154
66	307	151
67	309	145
68	313	140
69	337	144
70	343	140
71	347	135
72	356	131
73	360	126
74	362	120
75	367	116
76	389	116
77	391	110
78	400	106
79	404	101
80	408	95
81	415	91
82	451	92
83	454	86
84	474	83
85	485	79
86	492	73
87	495	67
88	498	61
89	503	55
90	526	52
91	528	45
92	531	40
93	534	34
94	539	28
95	541	22
96	543	16
97	545	11
98	546	5
99	549	0
